id;region_name;region_code;created_at;updated_at;created_by;updated_by
1;International Movies;Intelligent Wooden Gloves Jordanian Dinar;2020-12-21T03:11:34;2020-12-20T21:12:45;Usability;Managed
2;compress De-engineered Savings Account;Springs;2020-12-21T09:17:28;2020-12-21T08:09:46;Personal Loan Account;override Refined
3;payment;back-end Awesome Wooden Hat Chief;2020-12-20T20:49:45;2020-12-20T19:26:38;solid state;SCSI Chair optical
4;Home Loan Account Internal;Games;2020-12-20T19:40:20;2020-12-20T23:51:55;Cambridgeshire;Division
5;vortals withdrawal gold;embrace scale Licensed;2020-12-21T04:21:23;2020-12-20T16:28:22;Spring invoice Mexico;deposit
6;Savings Account orange;Mouse pixel Iraq;2020-12-21T10:18:43;2020-12-20T19:02:42;Refined virtual;United States Minor Outlying Islands
7;backing up;Parkway Rubber;2020-12-20T21:16:26;2020-12-21T07:24:00;Serbia backing up;Wooden
8;Bedfordshire adapter;Auto Loan Account Frozen;2020-12-20T15:18:21;2020-12-20T21:51:22;Garden SSL Gold;plum orange
9;Operations deposit Handcrafted Soft Chips;Ball users;2020-12-21T00:04:01;2020-12-21T06:57:41;Fish Analyst;functionalities cross-platform Sleek Concrete Ball
10;Metal Rustic Plastic Towels Handcrafted Rubber Cheese;Automotive sky blue;2020-12-20T17:48:41;2020-12-21T01:05:29;Refined;Berkshire
